Ticker,EBITDA,Total.Debt,Free.Cash.Flow,Gross.Profit.Margin,Operating.Margin,Net.Profit.Margin,Return.on.Equity,Return.on.Assets,Free.Cash.Flow.to.Net.Income,Current.Ratio,Liabilities.to.Equity.Ratio,Debt.Ratio,Earnings.Per.Share..Basic,Earnings.Per.Share..Diluted,Sales.Per.Share,Equity.Per.Share,Free.Cash.Flow.Per.Share,Dividends.Per.Share,Pietroski.F.Score,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),1_year_results,3_year_results,6_year_results
WMT,35742000000.0,56641000000.0,28636000000.0,0.24822,0.05642,0.03364,0.19343,0.07825,1.78729,0.88233,1.47194,0.27663,4.90119,4.88029,145.70021,23.32671,8.75987,1.87794,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,7.16,-8.98,44.16
WOR,204788000.0,521056000.0,303983000.0,0.15184,0.05295,0.05223,0.15643,0.06994,2.22793,1.93107,1.23661,0.26709,1.96883,1.91326,37.69417,11.9886,4.38642,0.63699,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-35.83,18.68,-39.93
WSM,601893000.0,3753000.0,618892000.0,0.38839,0.10303,0.06356,0.22206,0.11936,2.21903,1.64802,0.86045,0.00161,2.88512,2.8239,45.39086,12.99281,6.40218,1.15426,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,17.23,-27.29,-34.95
WSO,288915000.0,230044000.0,277623000.0,0.24023,0.07245,0.03412,0.11329,0.0765,2.17363,4.19333,0.48088,0.13779,3.9671,3.95941,116.26838,26.10282,8.62301,1.23731,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,24.12,45.54,50.01
WST,247600000.0,373500000.0,128300000.0,0.31767,0.11868,0.08207,0.1239,0.06718,1.14248,2.74673,0.84422,0.22344,1.61351,1.57283,19.66092,13.02299,1.84339,0.38362,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,34.49,87.46,232.77
WTRG,425647000.0,1554871000.0,148094000.0,0.62782,0.39594,0.29046,0.14417,0.04381,0.6692,0.71765,2.29099,0.30778,1.25639,1.2516,4.3255,8.71372,0.84077,0.58413,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,6.16,30.16,63.15
WTS,170300000.0,307700000.0,175200000.0,0.35731,0.08239,0.03977,0.05848,0.03367,2.98976,2.6219,0.73655,0.17682,1.6507,1.64607,41.50704,28.22817,4.93521,0.49859,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-6.49,3.53,39.55
WU,1370200000.0,4213000000.0,1270800000.0,0.41628,0.19982,0.14406,0.72273,0.07888,1.59168,0.46229,8.16203,0.41625,1.43442,1.42648,9.95688,1.98473,2.28315,0.49802,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,21.73,26.01,28.15
WW,505661000.0,2388000000.0,581839000.0,0.58065,0.2655,0.11759,-0.1373,0.14421,2.86985,0.91297,-1.95213,1.69852,3.61111,3.5951,30.70894,-26.30032,10.36333,0.5267,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-63.18,-27.83,-14.95
WWD,298612000.0,550000000.0,200760000.0,0.28911,0.1159,0.07538,0.12773,0.06578,1.37561,2.30114,0.94173,0.24791,2.1339,2.09681,28.30705,16.70583,2.93543,0.31972,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,24.47,63.32,65.31
